年份	进出口标识	贸易方式代码	贸易方式名称	产消国代码	产消国名称	商品代码	商品名称	经营单位代码	经营单位名称	金额
2016	进口	01	一般贸易	307	意大利	94041000	弹簧床垫	5101944443	欧厨之家厨具（四川）有限公司	1174
2016	进口	02	加工贸易（代码修正）	344	俄罗斯联邦	44071020	纵锯切刨或旋切白松（云、冷杉）木材，厚＞6mm	2207560006	珲春金鹰实业有限公司	73807
2016	进口	01	一般贸易	304	德国	84561000	用激光、其他光或光子束处理材料的加工机床	3205241234	强生(苏州)医疗器材有限公司	719748
2016	进口	01	一般贸易	304	德国	85011099	其他电动机，输出功率≤37.5W	1104940072	波通瑞华科学仪器(北京)有限公司	558
2016	进口	01	一般贸易	143	台澎金马关税区	84716040	巨型机、大型机、中型机及小型机用终端	3117940258	米思米(中国)精密机械贸易有限公司	1162
2016	进口	01	一般贸易	304	德国	87082990	车身（包括驾驶室）的未列名零件、附件	4451966194	广州市炳葵进出口贸易有限公司	34604
2016	进口	02	加工贸易（代码修正）	133	韩国	17019910	砂糖	3729945973	青岛力创食品有限公司	1218459
2016	进口	01	一般贸易	350	斯洛文尼亚	85322590	其他纸介质或塑料介质电容器	3118941695	施乐百机电设备(上海)有限公司	66
2016	进口	01	一般贸易	143	台澎金马关税区	82159900	其他餐匙、餐叉、勺等类似的厨房或餐桌用具	3122210380	上海新发展进出口贸易实业有限公司	7488
2016	进口	01	一般贸易	133	韩国	39189090	其他塑料制铺地制品	4453161248	深圳市海豚国际供应链管理有限公司	149
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	136	泰国	61091000	棉制针织或钩编的Ｔ恤衫、汗衫、背心	1105919061	中国出国人员服务总公司	2106
2016	进口	01	一般贸易	116	日本	73072900	不锈钢制其他管子附件	3122447495	上海英孝商贸有限公司	18
2016	进口	01	一般贸易	142	中国	90309000	品目9030所列仪器和装置的零件及附件	4403950010	华为技术有限公司	595273
2016	进口	01	一般贸易	304	德国	85059090	电磁铁;电磁或永磁工件夹具、夹具及类似的工作夹具，	3718932652	山东中际电工装备股份有限公司	1824
2016	进口	01	一般贸易	318	芬兰	94014090	其他能作床的两用椅，庭园坐具野营设备除外	1105963163	北京华晨远洋国际贸易有限责任公司	33739
2016	进口	01	一般贸易	143	台澎金马关税区	49070090	承认国流通新发行未用的其他票证;所有凭证	4453162271	深圳市紫色力腾科技发展有限公司	5729
2016	进口	01	一般贸易	143	台澎金马关税区	82119200	其他刃面固定的刀	3118941001	长欣胶业(上海)有限公司	282
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	306	爱尔兰	30021000	抗血清、其他血份及免疫制品,不论是否修饰或通过生物	3122445760	康德乐(上海)医药物流营运有限公司	6772142
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	307	意大利	38159000	未列名的反应引发剂、反应促进剂、催化剂	3122241734	巴斯夫(中国)有限公司	184
2016	进口	02	加工贸易（代码修正）	131	沙特阿拉伯	39019020	初级形状的线型低密度聚乙烯	441996786G	东莞市东众塑胶制品有限公司	105187
2016	进口	01	一般贸易	116	日本	48189000	纸浆、纸等制的其他家庭、卫生或医院用品	312264002S	上海跨境通国际贸易有限公司	164
2016	进口	01	一般贸易	304	德国	73181600	螺母	3201947215	舍弗勒(南京)有限公司	6
2016	进口	01	一般贸易	502	美国	84212990	未列名液体过滤、净化机器及装置	1113230097	托普威尔石油技术股份公司	1702
2016	进口	01	一般贸易	330	瑞典	84836000	离合器及联轴器（包括万向节）	5106967459	德阳市旖港科技有限公司	31986
2016	进口	02	加工贸易（代码修正）	445	委内瑞拉	41041111	全粒面未剖层及粒面剖层蓝湿牛皮	3304961347	桐乡市高桥皮革有限责任公司	3041658
2016	进口	01	一般贸易	116	日本	40094100	用其他材料加强或与其他材料合制无附件管子	3206230125	南通奥克奇高压油管有限公司	540
2016	进口	01	一般贸易	304	德国	39269010	塑料制机器及仪器用零件	3312960257	宁波市晟源国际贸易有限公司	57001
2016	进口	01	一般贸易	116	日本	68159939	其他碳纤维制品	330496964Q	嘉兴启晟碳材料有限公司	4032
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	122	马来西亚	85322410	片式多层瓷介电容器	4403447909	伟光联国际物流(深圳)有限公司	256
2016	进口	01	一般贸易	305	法国	96151900	其他梳子、发夹及类似品	3101940395	上海崇盟商贸有限公司	331397
2016	进口	01	一般贸易	122	马来西亚	21069090	未列名食品	4404164002	珠海铄山国际贸易有限公司	6006
2016	进口	01	一般贸易	142	中国	61102000	棉制针织钩编的套头衫、开襟衫、外穿背心等	3109945062	欣恒上品时装贸易(上海)有限公司	38318
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	410	巴西	61089100	棉制针织或钩编的女浴衣、晨衣及类似品	3111945059	利丰贸易服务(上海)有限公司	12
2016	进口	01	一般贸易	502	美国	84331100	割刀水平旋转草坪、公园或运动场机动割草机	1111960547	中农高夫生物科技(北京)有限公司	33808
2016	进口	01	一般贸易	502	美国	48041100	未漂白牛皮挂面板纸	3702914942	山东省青润进出口有限公司	868053
2016	进口	01	一般贸易	116	日本	34059000	玻璃或金属用的光洁剂及类似制品	4403046304	旭硝子显示玻璃(深圳)有限公司	1540039
2016	进口	01	一般贸易	309	荷兰	39039000	其他初级形状的苯乙烯聚合物	3120965787	上海阳康进出口有限公司	12788
2016	进口	01	一般贸易	304	德国	39234000	塑料卷轴、纡子、筒管及类似品	3214940743	辉门（常熟）汽车部件有限公司	1181
2016	进口	01	一般贸易	344	俄罗斯联邦	85299050	雷达及无线电导航设备零件	3301962E15	杭州钛比科技有限公司	18269
2016	进口	01	一般贸易	502	美国	84213990	其他非家用型气体的过滤、净化机器及装置	3120966392	上海延允机电设备有限公司	408
2016	进口	01	一般贸易	330	瑞典	85044014	其他功率＜1kW直流稳压电源，精度＜1/10000	3107965360	上海尊普进出口贸易有限公司	1406
2016	进口	02	加工贸易（代码修正）	116	日本	87169000	挂车及半挂车或其他非机械驱动车辆的零件	4403930073	深圳中集专用车有限公司	720398
2016	进口	01	一般贸易	242	塞拉利昂	85369011	工作电压不超过36伏的接插件	4453062914	深圳市九立供应链股份有限公司	52
2016	进口	02	加工贸易（代码修正）	304	德国	38109000	焊接辅助剂;作焊条芯子或焊条涂料用的制品	4403945457	贝克电热科技(深圳)有限公司	1902
2016	进口	01	一般贸易	116	日本	38249099	未列名化学工业及相关工业化学产品及配制品	3702910128	青岛远洋通信导航有限公司	6685
2016	进口	01	一般贸易	137	土耳其	62152000	化纤制领带及领结	3106940882	爱特思亚太企业管理有限公司	1267
2016	进口	01	一般贸易	304	德国	85432090	其他信号发生器	1108919068	中国仪器进出口(集团)公司	357061
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	133	韩国	98040000	低值简易通关商品	3702960EY1	青岛中汇通心国际贸易有限公司	620032
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	142	中国	90303310	量程在五位半及以下的数字电流表、电压表	3122461178	上海瀚昌国际贸易有限公司	1000
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	142	中国	96170019	其他带壳的保温瓶	5101640010	英特尔产品(成都)有限公司	39
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	309	荷兰	40170020	硬质橡胶制品	3114560005	上海心嘉物流有限公司	107
2016	进口	01	一般贸易	410	巴西	40093200	用纺材加强或只与纺材合制的装有附件的管子	4201243073	哈金森(武汉)汽车橡胶制品有限公司	4565
2016	进口	01	一般贸易	501	加拿大	74153390	铜制其他螺钉;螺栓及螺母	4403069189	深圳市雨禾田商贸有限公司	212
2016	进口	02	加工贸易（代码修正）	136	泰国	84821090	其他滚珠轴承	3205341573	苏州聚力电机有限公司	293
2016	进口	01	一般贸易	429	墨西哥	85437099	未列名具有独立功能的电气设备及装置	4201960025	武汉利莱行汽车销售服务有限公司	332
2016	进口	01	一般贸易	502	美国	29039990	其他芳烃卤化衍生物	3117940835	阿法埃莎(中国)化学有限公司	555
2016	进口	01	一般贸易	307	意大利	39089090	未列名初级形状的聚酰胺	4413341269	海格电气(惠州)有限公司	25403
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	402	阿根廷	61099090	未列名纺材制针织或钩编Ｔ恤衫、汗衫、背心	4401760019	广州华懿物流有限公司	18
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	142	中国	84713090	其他重量不超过10千克的便携式自动数据处理设备	3114940412	高屋希克斯电子(上海)有限公司	20951
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	502	美国	84819010	阀门零件	3122441738	英格索兰机械(上海)有限公司	96087
2016	进口	01	一般贸易	502	美国	90318090	其他未列名测量或检验仪器、器具及机器	3101945061	斯凯孚(中国)销售有限公司	174844
2016	进口	01	一般贸易	502	美国	34049000	其他人造蜡及调制蜡	3202967072	无锡兴达化工国贸有限公司	1190160
2016	进口	01	一般贸易	133	韩国	73121000	非绝缘的钢铁绞股线、绳、缆	3209960410	盐城市汇佳机电设备有限公司	3278
2016	进口	01	一般贸易	133	韩国	64041910	橡胶或塑料制外底，纺织材料制鞋面的拖鞋	4451965579	广州市衡臣贸易有限公司	2003
